title,link,img,description,date,time
,https://lexpress.mu/s/article/421606/sensibilisation-lenvironnement-une-competition-ouverte-aux-graphistes,https://lexpress.mu/storage/images/article/2023/2023-04/2023-04-23/branditup_studio.jpg,Sensibilisation à l’environnement: une compétition ouverte aux graphistes,23 avril 2023,11:00
,https://lexpress.mu/s/article/421492/parlement-projet-loi-sur-gestion-dechets-vote-amendements,https://lexpress.mu/storage/images/article/2023/2023-04/2023-04-20/waste.jpg,Parlement: le projet de loi sur la gestion des déchets voté avec amendements,20 avril 2023,09:00
,https://lexpress.mu/s/article/421424/pollution-sonore-57-contraventions-etablies-depuis-octobre-2022,https://lexpress.mu/storage/images/article/2023/2023-04/2023-04-18/pollution_sonore.jpg,Pollution sonore: 57 contraventions établies depuis octobre 2022,18 avril 2023,11:00
,https://lexpress.mu/s/article/421402/etude-rechauffement-davantage-secheresses-eclair,https://lexpress.mu/storage/images/article/2023/2023-04/2023-04-17/lexp_-_2023-04-17t135026.270.jpg,"Étude: avec le réchauffement, davantage de sécheresses éclair ",17 avril 2023,18:00
,https://lexpress.mu/s/article/421124/meteo-plusieurs-regions-lile-sous-eaux,https://lexpress.mu/storage/images/article/2023/2023-04/2023-04-10/lexp_-_2023-04-10t140206.558.jpg,Météo: plusieurs régions de l’île sous les eaux,10 avril 2023,14:02
,https://lexpress.mu/s/article/421086/goyavier-chine-casse-tete-pour-especes-endemiques,https://lexpress.mu/storage/images/article/2023/2023-04/2023-04-09/goyaves.jpg,"Le goyavier de Chine, casse-tête pour les espèces endémiques",9 avril 2023,19:15
,https://lexpress.mu/s/article/420768/dix-ans-apres-pourquoi-probleme-dinondations-perdure,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-31/pluie.jpg,"Dix ans après, pourquoi le problème d’inondations perdure ?",31 mars 2023,18:00
,https://lexpress.mu/s/article/420767/naissance-dun-bebe-cachalot-kobita-jugnauth-nomme-varuna,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-31/cachalot.jpg,Naissance d’un bébé cachalot: Kobita Jugnauth l’a nommé Varuna,31 mars 2023,17:30
,https://lexpress.mu/s/article/420502/accident-maritime-un-remorqueur-72-tonnes-traction-en-veille-en-cas-catastrophe,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-23/lexp_-_2023-03-23t185416.760.jpg,Accident maritime: un remorqueur de 72 tonnes de traction en veille en cas de catastrophe,23 mars 2023,19:15
,https://lexpress.mu/s/article/420472/developpement-durable-rehabilitation-forets-endemiques-lancee-citadelle,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-22/nettoyage_1.jpg,Développement durable: la réhabilitation des forêts endémiques lancée à La Citadelle,22 mars 2023,15:00
,https://lexpress.mu/s/article/420274/freddy-laisse-desolation-et-plus-200-morts-en-40-jours-dexistence,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-17/lexp_-_2023-03-17t074139.610.jpg,Freddy laisse la désolation et plus de 200 morts en 40 jours d’existence,17 mars 2023,09:01
,https://lexpress.mu/s/article/420264/meteo-mauvais-temps-persistera-jusqua-dimanche,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-16/lexp_-_2023-03-16t225605.349.jpg,Météo: le mauvais temps persistera jusqu’à dimanche,17 mars 2023,08:00
,https://lexpress.mu/s/article/420022/meteo-lavis-fortes-pluies-maintenu,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-10/lexp_-_2023-03-10t115012.065.jpg,Météo: l’avis de fortes pluies maintenu,10 mars 2023,11:51
,https://lexpress.mu/s/article/420000/pas-decole-ce-vendredi-10-mars-lavis-fortes-pluies,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-10/lexp_-_2023-03-09t224820.625.jpg,Pas d'école ce vendredi 10 mars avec l'avis de fortes pluies,10 mars 2023,05:20
,https://lexpress.mu/s/article/419856/yashna-beeharry-devenir-un-modele-pour-jeunes-et-inspirer-travailler-en-faveur,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-06/yashna_beeharry_24_ans_miss_environment_international_mauritius_2023.jpg,Yashna Beeharry: «Devenir un modèle pour les jeunes et les inspirer à travailler en faveur de l’environnement»,6 mars 2023,20:00
,https://lexpress.mu/s/article/419828/meteo-un-ciel-nuageux-au-rendez-vous,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-05/lexp_-_2023-03-05t220711.103.jpg,Météo: un ciel nuageux au rendez-vous,6 mars 2023,07:00
,https://lexpress.mu/s/article/419741/meteo-avis-fortes-pluies-en-vigueur,https://lexpress.mu/storage/images/article/2023/2023-03/2023-03-03/lexp_-_2023-03-03t155612.054.jpg,Météo: avis de fortes pluies en vigueur,3 mars 2023,15:56
,https://lexpress.mu/s/article/419520/montee-eaux-pendant-cyclone-freddy-hotels-plage-et-bungalows-noyes-dans-un-scenario,https://lexpress.mu/storage/images/article/2023/2023-02/2023-02-25/hotel_lux-belle-mare.jpg,Montée des eaux pendant le cyclone Freddy: hôtels de plage et bungalows noyés dans un scénario catastrophe,25 février 2023,22:00
,https://lexpress.mu/s/article/419536/constructions-cotieres-actions-maintenant-ou-jamais,https://lexpress.mu/storage/images/article/2023/2023-02/2023-02-25/etablissements_hoteliers_touchees_par_les_vagues.jpg,Constructions côtières: des actions maintenant ou jamais,25 février 2023,21:00
,https://lexpress.mu/s/article/419266/cyclone-intense-freddy-premieres-grosses-pluies-en-vue,https://lexpress.mu/storage/images/article/2023/2023-02/2023-02-20/lexp_-_2023-02-20t094503.428.jpg,Cyclone intense Freddy: les premières grosses pluies en vue,20 février 2023,10:02
,https://lexpress.mu/s/article/419210/freddy-super-cyclone,https://lexpress.mu/storage/images/article/2023/2023-02/2023-02-18/lexp_-_2023-02-18t210146.993.jpg,Freddy: super cyclone,19 février 2023,08:00
